                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.66946,                 2.5943,                 1.1958,                0.00333,                      1,                0.82218,                0.68338,                0.28967,                 2.8779,                0.96681,                0.00018,                0.00018,                0.00018
                      2,                0.47351,                 1.2359,                 1.0032,                      1,                 0.8108,                  0.971,                0.87165,                0.50164,                 2.5753,                  1.113,             0.00037624,             0.00037624,             0.00037624
                      3,                0.48193,                0.84249,                0.99735,                0.82898,                      1,                0.95275,                0.81685,                0.49427,                 2.2532,                 1.0798,             0.00056852,             0.00056852,             0.00056852
                      4,                0.49963,                0.81397,                0.99456,                0.92928,                      1,                0.97875,                0.86538,                0.53578,                   2.01,                 1.1545,             0.00075683,             0.00075683,             0.00075683
                      5,                0.53792,                0.88922,                 1.0294,                0.91862,                0.93333,                 0.9597,                0.83379,                0.51746,                 1.7002,                 1.1365,             0.00094119,             0.00094119,             0.00094119
                      6,                 0.5353,                0.81346,                  1.003,                 0.8311,                0.98481,                 0.9675,                0.82953,                0.58314,                 1.7054,                 1.2141,              0.0011216,              0.0011216,              0.0011216
                      7,                0.51543,                 0.7525,                 1.0101,                0.82595,                      1,                0.97333,                0.81092,                 0.7688,                 1.5884,                 1.3757,               0.001298,               0.001298,               0.001298
                      8,                0.48803,                0.66292,                0.98918,                 0.9216,                0.93333,                0.97067,                0.73652,                0.92088,                 1.7212,                 1.6458,              0.0014705,              0.0014705,              0.0014705
                      9,                0.52018,                  0.714,                 1.0043,                0.97665,                0.86667,                0.95571,                0.75115,                0.71507,                 1.7173,                 1.3344,               0.001639,               0.001639,               0.001639
                     10,                0.53106,                0.72844,                 1.0092,                0.64718,                    0.6,                0.68459,                0.44576,                0.96569,                 2.1505,                 1.5776,              0.0018036,              0.0018036,              0.0018036
                     11,                0.49844,                0.63125,                0.99314,                0.34999,                0.61055,                0.47585,                0.25142,                 1.0308,                 2.2134,                 1.7313,               0.001802,               0.001802,               0.001802
                     12,                0.52452,                0.62072,                 1.0077,                0.91201,                0.13333,                0.25589,                0.18133,                 1.1176,                 2.2385,                 1.5295,               0.001802,               0.001802,               0.001802
                     13,                0.53565,                0.60014,                0.99611,                0.43148,                0.53333,                0.51267,                0.43068,                0.61804,                 1.6225,                  1.199,              0.0017822,              0.0017822,              0.0017822
